Event,Site_ID,Date,Q_CFS,TP (mg/L),TN (mg/L),PO4-P (mg/L),NO2NO3-N (mg/L),NH4-N (mg/L),DOMGL,DOPCT,PH,SPCOND,TEMP,TURB,TSS mg/L,CHLA ug/L,Area (cm2),CHLA mg/m2,DM g/m2,AFDM g/m2,FIL,CP bulk,CN bulk,NP bulk,C g/m2,N g/m2,P g/m2,C/CHLA,AFDM/CHLA,CAN,DEPTH,EMB,SED,SR,VEL,WW,C,G
0,BALL1,4/18/2014,,0.0738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARR1,4/16/2014,,0.0245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARR2,4/16/2014,,0.0259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARR3,4/16/2014,,0.0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BARR4,4/16/2014,,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,BEAT1,4/18/2014,,0.0458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,CANE1,4/19/2014,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,COVE1,4/19/2014,,0.00992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,EVAN1,4/16/2014,,0.00727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,FLIN1,4/17/2014,,0.0455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,FLIN2,4/17/2014,,0.0232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,FLIN3,4/18/2014,,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,GOOS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI1,4/17/2014,,0.00709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI2,4/17/2014,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI4,4/18/2014,,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI5,4/17/2014,,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI6,4/18/2014,,0.0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI7,4/17/2014,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,ILLI8,4/15/2014,,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LEE1,4/19/2014,,0.00816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LLEE1,4/16/2014,,0.0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,LSAL1,4/19/2014,,0.00861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MTFK1,4/19/2014,,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,OSAG1,4/17/2014,,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,OSAG2,4/17/2014,,0.0539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SAGE1,4/17/2014,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
