Site_ID,Event,Acari,Acentrel,Acerpenn,Acroneur,Agabinus,Agabus,Agapetus,Agnetina,Allocapn,Alloperl,Americab,Amphinem,Anchytar,Ancyrony,Anodonto,Anthopot,Antocha,Aquarius,Argia,Arigomph,Atherix,Atrichop,Bactruru,Baetis,Baetisca,Belostae,Berosus,Bezzia,Boyeria,Brachyce,Brechmor,Caecidot,Caenis,Callibae,Calopter,Ceraclea,Ceratopo,Cheumato,Chimarra,Chironom,Choroter,Clinocer,Clioperl,CoenagII,Corbicul,Corixida,Corydalu,Cryptola,Culicoid,Cultus,Curculio,Cyphon,Dannella,Dasyhele,Dicranot,Dineutus,Diura,Dromogom,Dubiraph,Dytiscid,Ectopria,Elophila,Enallagm,Enochrus,Epeorus,Ephemera,Ephemere,Ephoron,Erpetogo,Erpobdel,Erythemi,Euryloph,Fallceon,Ferrissi,Forcipom,Gammarus,Glossiph,Glossoso,Glutops,Gomphus,Habrophl,Hagenius,Hansonop,Haploper,Helichus,Helicops,Helocomb,Helopicu,Hemerodr,Hemipter,Hetaerin,Heterocl,Heterost,Hexageni,Hexatoma,Hirudini,Hyalella,Hydrobii,Hydroper,Hydrophi,HydropII,Hydropsy,Hydropti,Hygrotus,Isonychi,Isoperla,Laccobiu,Laccorni,Lampyrid,Lanthus,Lepidost,Leptophl,Leucrocu,Leuctra,Libellul,Limonia,Lioporeu,Lirceus,Lutrochu,Maccaffe,MaccaffV,MaccafII,MaccafIV,MaccafVI,MaccaIII,Macronyc,Mallocho,MariliaI,MariliII,Metachel,Metrobat,Microcyl,Microvel,Mystacid,Myxosarg,Nectopsy,Nematoda,Nemotelu,Nemoura,Neoperla,Neophyla,Neurecli,Nigronia,Nixe,Ochrotri,Oecetis,OecetisI,Oemopter,Oligocha,Ophiogom,Optioser,Orconect,Oxyethir,Paduniel,Paracymu,Paragnet,Paralept,Paraleuc,Paucical,Peltodyt,Perithem,Perlesta,Perlinel,PerlodiI,Petrophi,Physidae,Piscicol,Pisidiid,Planorbi,Pleuroce,Polycent,Probezzi,Procloeo,Prosimul,Protopti,Psephenu,Pseudocl,Psychomy,Pycnopsy,Remenus,Rhagovel,Rheumato,Rhithrog,Rhyacoph,Saldida,Serromyi,Sialis,Simulium,Staphyli,Stenacro,Stenelmi,Stenonem,Stratiom,Strophop,Stylogom,Sympetru,Tabanida,Taeniopt,Tanyderi,Theliops,Tipula,Tramea,Trepobat,Triaenod,Trichocl,Tricoryt,Tropiste,Turbella,Unionid,Wormaldi,Yugus,Zealeuct
BALL1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,47,0,4,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,9,0,0,21,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
BALL1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,17,0,9,18,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,9,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,84,0,1,0,0,0,0,0,0,0,0,4,0,0,11,17,17,0,0,21,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0
BALL1,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,9,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,41,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,78,0,0,0,0,1,0,0,0,0,0,1,0,0,0,26,43,0,0,36,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
BALL1,4,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,89,2,25,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,0,71,0,0,6,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0
BALL1,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,76,6,107,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,50,0,0,0,0,0,45,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,49,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,9,0,0,0,0
BALL1,6,0,1,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,23,9,39,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,1,4,0,0,0,0,10,0,0,3,1,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,2,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0
BALL1,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,12,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BALL1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,0,94,3,29,28,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,62,1,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0
BALL1,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,57,0,17,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
BALL1,10,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,235,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,64,0,0,0,0,0,0,2,3,0,0,0,0,78,0,0,16,0,37,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0
