Event,Site_ID,Species,ShortName,Kingdom,DivisionPhylum,Count,Cell_biovol_u3,Cells_cm2,Biovolume_u3_cm2,Biovolume_mm3_m2
1,ILLI5,Ankistrodesmus sp.,ANKIstro,Plantae,Chlorophyta,1,226,3313.759623,748909.6748,7.489096748
1,FLIN2,Ankistrodesmus sp.,ANKIstro,Plantae,Chlorophyta,1,226,5952.223348,1345202.477,13.45202477
5,SPAV1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,98,503,1403.990455,706207.1986,7.062071986
9,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,95,503,1432.727105,720661.7341,7.206617341
2,BEAT1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,19,503,275.5343403,138593.7732,1.385937732
8,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,42,503,292.5824161,147168.9553,1.471689553
9,BARR1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,66,503,890.788381,448066.5556,4.480665556
8,BARR4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,12,503,403.198021,202808.6046,2.028086046
9,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,544,503,11359.74287,5713950.664,57.13950664
9,SPRG3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,6,503,201.1683799,101187.6951,1.011876951
2,ILLI7,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,21,503,276.6621109,139161.0418,1.391610418
2,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,217,503,1061.700509,534035.3558,5.340353558
9,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,24,503,332.4607313,167227.7478,1.672277478
5,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,266,503,9232.787951,4644092.34,46.4409234
9,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,457,503,5539.963615,2786601.698,27.86601698
7,FLIN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,53,503,744.6219425,374544.8371,3.745448371
9,SPRG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,79,503,1221.392816,614360.5862,6.143605862
8,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,28,503,324.414273,163180.3793,1.631803793
7,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,298,503,7886.300714,3966809.259,39.66809259
9,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,139,503,2321.670952,1167800.489,11.67800489
5,EVAN1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,37,503,1252.943337,630230.4986,6.302304986
2,BALL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,7,503,231.6412814,116515.5645,1.165155645
7,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,170,503,2376.89284,1195577.098,11.95577098
9,SPAV2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,11,503,63.92202935,32152.78076,0.321527808
5,COVE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,13,503,319.9051068,160912.2687,1.609122687
12,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,33,503,907.3858274,456415.0712,4.564150712
12,SPAV1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,31,503,1695.33848,852755.2556,8.527552556
12,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,451,503,17677.81985,8891943.387,88.91943387
12,OSAG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,164,503,3784.163119,1903434.049,19.03434049
8,BALL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,17,503,168.3729251,84691.58132,0.846915813
5,SPAV2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,5,503,43.07112424,21664.77549,0.216647755
7,OSAG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,3,503,202.2918312,101752.7911,1.017527911
9,ILLI8,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,220,503,2046.167046,1029222.024,10.29222024
8,BARR3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,5,503,47.70500492,23995.61748,0.239956175
2,ILLI6,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,21,503,146.1449622,73510.91601,0.73510916
8,SPRG1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,6,503,29.79027125,14984.50644,0.149845064
9,ILLI5,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,64,503,686.3806444,345249.4641,3.452494641
9,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,439,503,8186.041805,4117579.028,41.17579028
8,ILLI3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,25,503,142.9631943,71910.48672,0.719104867
8,OSAG2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,33,503,296.1846636,148980.8858,1.489808858
9,BARR2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,8,503,78.75906933,39615.81187,0.396158119
7,SPAR1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,9,503,172.2958977,86664.83654,0.866648365
2,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,39,503,245.8102373,123642.5494,1.236425494
9,ILLI4,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,65,503,866.4454903,435822.0816,4.358220816
7,SAGE1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,37,503,1870.311715,940766.7929,9.407667929
2,ILLI3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,85,503,576.4640952,289961.4399,2.899614399
9,SPAV1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,27,503,304.7337248,153281.0636,1.532810636
2,ILLI2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,423,503,11819.60165,5945259.631,59.45259631
7,LSAL1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,6,503,70.53132004,35477.25398,0.35477254
2,GOOS1,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,25,503,836.5223581,420770.7461,4.207707461
7,FLIN2,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,8,503,186.3455883,93731.83093,0.937318309
2,FLIN3,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,40,503,131.2151121,66001.2014,0.660012014
9,ILLI6,Audouinella hermanii,AUDOherm,Plantae,Rhodophyta,356,503,3272.119649,1645876.183,16.45876183
