Site_ID,Area_km2,Water,DevOpen,DevLow,DevMed,DevHigh,DevLMH,DevTot,ImpTot,Barren,ForDec,ForEvg,ForMix,ForTot,Shrub,Grass,Pasture,Rowcrop,WetWood,WetHerb
BALL1,90.153,0.02,5.86,1.25,0.53,0.23,2,7.86,1.31,0.01,22.71,0.27,0.2,23.19,0.03,0.99,67.73,0.04,0.12,0
BARR1,105.6402,0.02,3.5,0.48,0.18,0.06,0.72,4.22,0.57,0.09,44.05,0.74,0.63,45.43,0,1.82,48.28,0,0.14,0
BARR2,409.5279,0.04,4.03,0.37,0.12,0.04,0.54,4.57,0.48,0.07,45.12,1.83,0.68,47.63,0.05,2.26,44.95,0.09,0.35,0
BARR3,542.8899,0.05,4.25,0.51,0.16,0.05,0.72,4.97,0.56,0.06,43.93,1.55,0.57,46.06,0.18,2.9,45.37,0.08,0.34,0
BARR4,879.8616,0.05,4.15,0.4,0.12,0.05,0.58,4.73,0.48,0.05,47.59,1.38,0.46,49.42,0.88,6.18,38.31,0.05,0.33,0
BEAT1,152.6319,0.02,4.1,0.53,0.24,0.14,0.92,5.02,0.7,0.01,29.23,0.41,0.11,29.76,0.06,2.14,61.72,1.22,0.06,0
CANE1,232.875,0.02,4.34,1,0.42,0.17,1.59,5.93,0.98,0.03,41.44,1.43,0.67,43.54,0.22,3.37,46.71,0.1,0.09,0
COVE1,135.3159,0.01,2.16,0.05,0.03,0,0.08,2.24,0.14,0.04,79.53,4.21,0.59,84.33,0,2.16,11.18,0,0.03,0.01
EVAN1,164.1762,0.05,3.94,0.29,0.05,0.01,0.35,4.29,0.37,0.04,49.41,2.29,0.67,52.36,0.04,2.69,39.88,0.05,0.59,0
FLIN1,64.9395,0.05,6.1,1.97,0.91,0.29,3.17,9.27,1.83,0.35,25.38,0.16,0.06,25.6,0.08,2.79,61.5,0,0.35,0
FLIN2,145.9116,1.24,6.13,1.86,0.78,0.29,2.92,9.06,1.72,0.34,27.37,0.11,0.08,27.56,0.12,3.02,58.09,0.2,0.37,0
FLIN3,245.1699,0.82,6.93,3.5,1.9,0.86,6.26,13.18,3.59,0.21,27.75,0.09,0.09,27.94,0.2,3.62,53.43,0.24,0.36,0
GOOS1,35.4555,0,10.12,8.44,3.98,0.97,13.39,23.51,6.96,0.03,25.5,0.31,0.31,26.13,0.01,0.83,49.21,0.12,0.17,0
ILLI1,68.913,0.02,4.07,0.32,0.11,0.02,0.44,4.52,0.44,0,54.51,0.83,0.27,55.61,0,2.7,36.85,0.06,0.25,0
ILLI2,420.4287,0.37,5.48,1.86,0.78,0.21,2.85,8.33,1.67,0.02,34.04,0.55,0.38,34.97,0.03,1.43,54.3,0.11,0.44,0
ILLI3,1239.795,0.3,9,6.64,3.76,1.44,11.84,20.84,6.53,0.28,26.44,0.43,0.24,27.11,0.03,1.16,49.75,0.12,0.42,0
ILLI4,1473.7149,0.27,8.24,5.69,3.22,1.23,10.14,18.38,5.63,0.24,27.38,0.57,0.23,28.18,0.02,1.18,51.17,0.11,0.44,0
ILLI5,1716.9462,0.26,7.89,5.05,2.83,1.08,8.96,16.85,5,0.22,28.25,0.61,0.24,29.09,0.03,1.25,51.7,0.12,0.48,0
ILLI6,2092.8339,0.32,7.57,4.6,2.56,0.99,8.16,15.73,4.57,0.21,29.75,0.67,0.24,30.67,0.11,1.99,50.36,0.13,0.49,0
ILLI7,2294.6229,0.32,7.19,4.21,2.34,0.91,7.46,14.64,4.18,0.19,33.05,0.75,0.25,34.05,0.3,2.84,46.99,0.12,0.55,0
ILLI8,2465.6283,0.33,6.94,3.95,2.18,0.85,6.97,13.91,3.92,0.19,35.27,1.15,0.28,36.7,0.34,3.01,44.76,0.11,0.66,0
LEE1,252.1692,0.07,2.51,0.12,0.08,0.03,0.22,2.73,0.24,0.16,81.41,2.66,0.55,84.62,0.04,2.17,9.93,0.01,0.26,0.01
LLEE1,264.069,0.07,2.66,0.12,0.01,0,0.13,2.79,0.16,0.17,76.99,0.53,0.46,77.98,1.04,8.53,9.22,0,0.19,0
LSAL1,61.7022,0,2.81,0.34,0.15,0.01,0.5,3.31,0.33,0,49.59,1.28,0.07,50.93,2.11,8.32,34.89,0.43,0,0
MTFK1,67.1283,0.02,2.42,0.03,0,0,0.03,2.45,0.1,0,82.23,2.14,0.33,84.7,0.83,4.94,7.02,0,0.03,0
OSAG1,100.8441,0.1,17.56,20.43,12.83,5.65,38.91,56.47,21.5,0.78,7.06,0.06,0.15,7.27,0.04,0.37,34.57,0.2,0.2,0
OSAG2,337.3956,0.12,13.4,12.57,7.73,3.24,23.54,36.94,13.02,0.56,11.1,0.07,0.13,11.29,0.03,0.36,50.38,0.16,0.15,0
SAGE1,45.9387,0.42,12.37,12.14,7.36,3.64,23.13,35.5,12.99,0,8.82,0.02,0.15,8.99,0.02,1.18,53.63,0.03,0.23,0
SALI1,270.0711,0,3.49,0.33,0.14,0.06,0.52,4.01,0.4,0.02,58.97,0.96,0.1,60.02,1.72,7.59,26.34,0.16,0.14,0
SPAR1,91.6632,0.1,13.99,16.53,9.47,4.03,30.03,44.02,16.31,1.16,11.5,0.09,0.1,11.69,0,0.24,42.69,0.01,0.1,0
SPAV1,173.8521,0.12,5.3,1.37,0.52,0.14,2.03,7.34,1.19,0.1,38.35,0.15,0.04,38.54,0.02,2.3,51.5,0.03,0.07,0
